300	384.825592041
300.744140625	387.376281738
301.488311768	392.198394775
302.232452393	404.982788086
302.976623535	403.352844238
303.72076416	393.588012695
304.464904785	399.293426514
305.209075928	418.613800049
305.953216553	413.213287354
306.697387695	412.095947266
307.44152832	413.12600708
308.185668945	412.344421387
308.929840088	405.663574219
309.673980713	395.125610352
310.418151855	405.622344971
311.16229248	412.017486572
311.906463623	397.395935059
312.650604248	391.76864624
313.394744873	394.044433594
314.138916016	396.666259766
314.883056641	402.209228516
315.627227783	390.570861816
316.371368408	406.726531982
317.115509033	394.27734375
317.859680176	397.308929443
318.603820801	403.536132813
319.347991943	393.174987793
320.092132568	403.056304932
320.836273193	398.512023926
321.580444336	393.452362061
322.324584961	395.257232666
323.068756104	393.929779053
323.812896729	394.883758545
324.557037354	404.125610352
325.301208496	397.748291016
326.045349121	377.808197021
326.789520264	373.534912109
327.533660889	370.066864014
328.277832031	378.44708252
329.021972656	390.283935547
329.766113281	383.731079102
330.510284424	365.371429443
331.254425049	373.922210693
331.998596191	376.285400391
332.742736816	383.481445313
333.486877441	387.259613037
334.231048584	381.171447754
334.975189209	374.452545166
335.719360352	400.972259521
336.463500977	396.832489014
337.207641602	393.668182373
337.951812744	384.727325439
338.695953369	378.605743408
339.440124512	380.939056396
340.184265137	385.651672363
340.928405762	380.801147461
341.672576904	374.008148193
342.416717529	368.30682373
343.160888672	389.024230957
343.905029297	395.975067139
344.649169922	376.200012207
345.393341064	372.248718262
346.137481689	381.669555664
346.881652832	370.70489502
347.625793457	377.213195801
348.3699646	379.174468994
349.114105225	385.922668457
349.85824585	399.084411621
350.602416992	398.526031494
351.346557617	392.241760254
352.09072876	389.802581787
352.834869385	374.540618896
353.57901001	376.136566162
354.323181152	373.122406006
355.067321777	362.173431396
355.81149292	372.821990967
356.555633545	353.672943115
357.29977417	360.18762207
358.043945313	366.477813721
358.788085938	372.299499512
359.53225708	372.783416748
360.276397705	367.520935059
361.02053833	365.262695313
361.764709473	378.989318848
362.508850098	382.400360107
363.25302124	368.612457275
363.997161865	364.73840332
364.741333008	368.457183838
365.485473633	370.183746338
366.229614258	370.90713501
366.9737854	389.791046143
367.717926025	378.086090088
368.462097168	362.0390625
369.206237793	367.160461426
369.950378418	364.451599121
370.694549561	352.113952637
371.438690186	360.82220459
372.182861328	380.816833496
372.927001953	361.874237061
373.671142578	355.113800049
374.415313721	371.930480957
375.159454346	365.646697998
375.903625488	345.219604492
376.647766113	353.084838867
377.391906738	360.098632813
378.136077881	362.970367432
378.880218506	373.870452881
379.624389648	361.196044922
380.368530273	356.209411621
381.112670898	361.217559814
381.856842041	361.305908203
382.600982666	367.471130371
383.345153809	359.425994873
384.089294434	360.488311768
384.833465576	348.358062744
385.577606201	346.383239746
386.321746826	354.630645752
387.065917969	361.014862061
387.810058594	362.616943359
388.554229736	355.717315674
389.298370361	343.386871338
390.042510986	366.172637939
390.786682129	373.834899902
391.530822754	370.937011719
392.274993896	371.193847656
393.019134521	366.19644165
393.763275146	353.827423096
394.507446289	358.209716797
395.251586914	355.187103271
395.995758057	358.86920166
396.739898682	359.283477783
397.484039307	354.390808105
398.228210449	351.264465332
398.972351074	343.294036865
399.716522217	360.564666748
400.460662842	356.851623535
401.204833984	358.118133545
401.948974609	359.186279297
402.693115234	359.037384033
403.437286377	361.340789795
404.181427002	364.547698975
404.925598145	359.651794434
405.66973877	353.678344727
406.413879395	353.453338623
407.158050537	367.437774658
407.902191162	371.882263184
408.646362305	358.661102295
409.39050293	349.402404785
410.134643555	336.723297119
410.878814697	361.111480713
411.622955322	353.841796875
412.367126465	357.56539917
413.11126709	350.473937988
413.855407715	338.910644531
414.599578857	346.61315918
415.343719482	350.902404785
416.087890625	354.659973145
416.83203125	339.263244629
417.576171875	344.780487061
418.320343018	347.925842285
419.064483643	342.278137207
419.808654785	337.337402344
420.55279541	341.003540039
421.296966553	345.908111572
422.041107178	356.217590332
422.785247803	346.759307861
423.529418945	344.087280273
424.27355957	342.022705078
425.017730713	340.43862915
425.761871338	346.783416748
426.506011963	351.594512939
427.250183105	350.439697266
427.99432373	347.705780029
428.738494873	351.58505249
429.482635498	355.39352417
430.226776123	356.145294189
430.970947266	355.678619385
431.715087891	355.115478516
432.459259033	344.402252197
433.203399658	340.017486572
433.947540283	342.993286133
434.691711426	339.338134766
435.435852051	328.36541748
436.180023193	326.395843506
436.924163818	341.242523193
437.668334961	347.457824707
438.412475586	348.906524658
439.156616211	330.610656738
439.900787354	333.58895874
440.644927979	337.183227539
441.389099121	339.568939209
442.133239746	340.837799072
442.877380371	337.917510986
443.621551514	345.723571777
444.365692139	326.878295898
445.109863281	340.278564453
445.854003906	340.9609375
446.598144531	332.912109375
447.342315674	323.555023193
448.086456299	321.383758545
448.830627441	333.312011719
449.574768066	330.701141357
450.318908691	350.134490967
451.063079834	337.774871826
451.807220459	339.59753418
452.551391602	333.690917969
453.295532227	324.061645508
454.039703369	333.074249268
454.783843994	344.821350098
455.527984619	321.834014893
456.272155762	324.800170898
457.016296387	322.875793457
457.760467529	325.268981934
458.504608154	320.374633789
459.248748779	314.929168701
459.992919922	319.281280518
460.737060547	298.722747803
461.481231689	325.445800781
462.225372314	331.404754639
462.969512939	323.359405518
463.713684082	315.187225342
464.457824707	321.18270874
465.20199585	329.157165527
465.946136475	319.661376953
466.6902771	331.701080322
467.434448242	332.575164795
468.178588867	333.707702637
468.92276001	328.545898438
469.666900635	330.414337158
470.41104126	332.529296875
471.155212402	327.228515625
471.899353027	323.826843262
472.64352417	335.991394043
